accession	family	genus	species	fasta_obtained	json_obtained	eggnog_obtained	fasta_file_name
GCF_015751745.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp015751745	FALSE	FALSE	FALSE	NA
GCF_002954245.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium aureum	FALSE	FALSE	FALSE	NA
GCF_900103805.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium flavum	FALSE	FALSE	FALSE	NA
GCF_004404055.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium ruanii	FALSE	FALSE	FALSE	NA
GCF_900110125.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium luteum	FALSE	FALSE	FALSE	NA
GCF_004402535.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004402535	FALSE	FALSE	FALSE	NA
GCF_004365915.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium psychrophilum	FALSE	FALSE	FALSE	NA
GCF_000738085.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp000738085	FALSE	FALSE	FALSE	NA
GCF_014200405.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium roopkundense	FALSE	FALSE	FALSE	NA
GCF_003185895.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium arcticum	FALSE	FALSE	FALSE	NA
GCF_001679725.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium arcticum_A	FALSE	FALSE	FALSE	NA
GCF_003611035.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium soli	FALSE	FALSE	FALSE	NA
GCF_004210215.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004210215	FALSE	FALSE	FALSE	NA
GCF_004403945.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004403945	FALSE	FALSE	FALSE	NA
GCF_002929555.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp002929555	FALSE	FALSE	FALSE	NA
GCF_002909375.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium zongtaii	FALSE	FALSE	FALSE	NA
GCF_004402695.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004402695	FALSE	FALSE	FALSE	NA
GCF_004402235.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004402235	FALSE	FALSE	FALSE	NA
GCF_004402485.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004402485	FALSE	FALSE	FALSE	NA
GCF_004402785.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004402785	FALSE	FALSE	FALSE	NA
GCF_004403515.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004403515	FALSE	FALSE	FALSE	NA
GCF_004402495.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004402495	FALSE	FALSE	FALSE	NA
GCF_015752155.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp015752155	FALSE	FALSE	FALSE	NA
GCF_004402375.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium breve	FALSE	FALSE	FALSE	NA
GCF_004403065.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004403065	FALSE	FALSE	FALSE	NA
GCF_004403395.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004403395	FALSE	FALSE	FALSE	NA
GCF_002929845.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp002929845	FALSE	FALSE	FALSE	NA
GCF_004403465.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004403465	FALSE	FALSE	FALSE	NA
GCA_014376815.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp014376815	FALSE	FALSE	FALSE	NA
GCF_004402595.1	f__Microbacteriaceae	g__Cryobacterium	s__Cryobacterium sp004402595	FALSE	FALSE	FALSE	NA
GCF_003716325.1	f__Microbacteriaceae	g__Cryobacterium_C	s__Cryobacterium_C tepidiphilum	FALSE	FALSE	FALSE	NA
GCF_003260275.1	f__Microbacteriaceae	g__OACT-916	s__OACT-916 sp003260275	FALSE	FALSE	FALSE	NA
GCF_002797855.1	f__Microbacteriaceae	g__Compostimonas	s__Compostimonas suwonensis	FALSE	FALSE	FALSE	NA
GCA_013204985.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp013204985	FALSE	FALSE	FALSE	NA
GCA_013205085.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp013205085	FALSE	FALSE	FALSE	NA
GCF_000425325.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter toxicus	FALSE	FALSE	FALSE	NA
GCF_015351245.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp015351245	FALSE	FALSE	FALSE	NA
GCF_009866585.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp002930885	FALSE	FALSE	FALSE	NA
GCF_002932875.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter tritici	FALSE	FALSE	FALSE	NA
GCF_004011095.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter rathayi	FALSE	FALSE	FALSE	NA
GCF_001634385.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter tanaceti	FALSE	FALSE	FALSE	NA
GCF_003149025.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter iranicus	FALSE	FALSE	FALSE	NA
GCF_013249015.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter agropyri	FALSE	FALSE	FALSE	NA
GCF_009834185.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp009834185	FALSE	FALSE	FALSE	NA
GCF_013205055.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp013205055	FALSE	FALSE	FALSE	NA
GCF_004011135.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter festucae	FALSE	FALSE	FALSE	NA
GCF_013205025.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp013205025	FALSE	FALSE	FALSE	NA
GCF_009866655.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp009866655	FALSE	FALSE	FALSE	NA
GCF_900177245.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter oskolensis	FALSE	FALSE	FALSE	NA
GCF_009834225.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp009834225	FALSE	FALSE	FALSE	NA
GCF_001423885.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp001423885	FALSE	FALSE	FALSE	NA
GCF_009807095.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp009807095	FALSE	FALSE	FALSE	NA
GCF_017355185.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp017355185	FALSE	FALSE	FALSE	NA
GCF_001995175.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter sp001995175	FALSE	FALSE	FALSE	NA
GCF_003044275.1	f__Microbacteriaceae	g__Rathayibacter	s__Rathayibacter caricis	FALSE	FALSE	FALSE	NA
GCF_013407835.1	f__Microbacteriaceae	g__Agromyces_B	s__Agromyces_B atrinae	FALSE	FALSE	FALSE	NA
GCF_018024495.1	f__Microbacteriaceae	g__WSTA01	s__WSTA01 sp018024495	FALSE	FALSE	FALSE	NA
GCF_009789225.1	f__Microbacteriaceae	g__WSTA01	s__WSTA01 sp009789225	FALSE	FALSE	FALSE	NA
GCF_001620055.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp001620055	FALSE	FALSE	FALSE	NA
GCF_009709675.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces bracchium	FALSE	FALSE	FALSE	NA
GCF_009729855.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces luteolus	FALSE	FALSE	FALSE	NA
GCF_004135055.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces binzhouensis	FALSE	FALSE	FALSE	NA
GCF_009674665.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces kandeliae	FALSE	FALSE	FALSE	NA
GCF_016907355.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces aurantiacus	FALSE	FALSE	FALSE	NA
GCF_900104685.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces flavus	FALSE	FALSE	FALSE	NA
GCF_003710805.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces tardus	FALSE	FALSE	FALSE	NA
GCF_004134825.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces albus	FALSE	FALSE	FALSE	NA
GCF_018613935.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp018613935	FALSE	FALSE	FALSE	NA
GCF_000421565.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces subbeticus	FALSE	FALSE	FALSE	NA
GCF_003070885.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces badenianii	FALSE	FALSE	FALSE	NA
GCF_006337065.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces laixinhei	FALSE	FALSE	FALSE	NA
GCF_001429165.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp001429165	FALSE	FALSE	FALSE	NA
GCF_900142065.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces cerinus	FALSE	FALSE	FALSE	NA
GCF_004134865.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces fucosus	FALSE	FALSE	FALSE	NA
GCF_013410355.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces hippuratus	FALSE	FALSE	FALSE	NA
GCF_016907835.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces cerinus_A	FALSE	FALSE	FALSE	NA
GCF_000421545.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces italicus	FALSE	FALSE	FALSE	NA
GCF_009749405.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces lapidis	FALSE	FALSE	FALSE	NA
GCF_900113185.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp900113185	FALSE	FALSE	FALSE	NA
GCF_001421565.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp001421565	FALSE	FALSE	FALSE	NA
GCF_003384855.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp003384855	FALSE	FALSE	FALSE	NA
GCF_001660485.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces aureus	FALSE	FALSE	FALSE	NA
GCF_009749385.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces allii	FALSE	FALSE	FALSE	NA
GCF_009749395.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces salentinus	FALSE	FALSE	FALSE	NA
GCF_009749465.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces terreus	FALSE	FALSE	FALSE	NA
GCF_008122505.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp008122505	FALSE	FALSE	FALSE	NA
GCF_902809835.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp902809835	FALSE	FALSE	FALSE	NA
GCF_001428255.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp001428255	FALSE	FALSE	FALSE	NA
GCF_004216665.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces ramosus	FALSE	FALSE	FALSE	NA
GCF_009720255.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces humi	FALSE	FALSE	FALSE	NA
GCF_006715355.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp006715355	FALSE	FALSE	FALSE	NA
GCF_004959775.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp004959775	FALSE	FALSE	FALSE	NA
GCF_014645655.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces bauzanensis	FALSE	FALSE	FALSE	NA
GCF_014648575.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces mediolanus	FALSE	FALSE	FALSE	NA
GCF_004135405.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces protaetiae	FALSE	FALSE	FALSE	NA
GCF_004006235.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp004006235	FALSE	FALSE	FALSE	NA
GCF_009647605.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp009647605	FALSE	FALSE	FALSE	NA
GCF_003634985.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces sp003634985	FALSE	FALSE	FALSE	NA
GCF_008365295.1	f__Microbacteriaceae	g__Agromyces	s__Agromyces intestinalis	FALSE	FALSE	FALSE	NA
GCA_002529645.1	f__Microbacteriaceae	g__Lumbricidophila	s__Lumbricidophila eiseniae	FALSE	FALSE	FALSE	NA
GCF_004801905.1	f__Microbacteriaceae	g__Leifsonia_A	s__Leifsonia_A flavus	FALSE	FALSE	FALSE	NA
GCF_001422325.1	f__Microbacteriaceae	g__Leifsonia_A	s__Leifsonia_A sp001422325	FALSE	FALSE	FALSE	NA
GCF_001425325.1	f__Microbacteriaceae	g__Leifsonia_A	s__Leifsonia_A sp001425325	FALSE	FALSE	FALSE	NA
GCF_004570845.1	f__Microbacteriaceae	g__Leifsonia_A	s__Leifsonia_A flava	FALSE	FALSE	FALSE	NA
GCF_001542775.1	f__Microbacteriaceae	g__Microterricola	s__Microterricola viridarii_A	FALSE	FALSE	FALSE	NA
GCF_002936985.1	f__Microbacteriaceae	g__Microterricola	s__Microterricola pindariensis	FALSE	FALSE	FALSE	NA
GCF_900104895.1	f__Microbacteriaceae	g__Microterricola	s__Microterricola viridarii	FALSE	FALSE	FALSE	NA
GCF_004217495.1	f__Microbacteriaceae	g__Microterricola	s__Microterricola gilva	FALSE	FALSE	FALSE	NA
GCF_003610585.1	f__Microbacteriaceae	g__Microterricola	s__Microterricola sp003610585	FALSE	FALSE	FALSE	NA
GCF_001425085.1	f__Microbacteriaceae	g__Microterricola	s__Microterricola sp001425085	FALSE	FALSE	FALSE	NA
GCF_000799285.1	f__Microbacteriaceae	g__Microterricola	s__Microterricola sp000799285	FALSE	FALSE	FALSE	NA
GCF_001424905.1	f__Microbacteriaceae	g__Root112D2	s__Root112D2 sp001424905	FALSE	FALSE	FALSE	NA
GCF_010686705.1	f__Microbacteriaceae	g__Diaminobutyricibacter	s__Diaminobutyricibacter tongyongensis	FALSE	FALSE	FALSE	NA
GCF_001428745.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp001428745	FALSE	FALSE	FALSE	NA
GCF_012317045.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp002105485	FALSE	FALSE	FALSE	NA
GCF_001423695.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp001423695	FALSE	FALSE	FALSE	NA
GCF_017565305.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp017565305	FALSE	FALSE	FALSE	NA
GCF_013410375.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia shinshuensis	FALSE	FALSE	FALSE	NA
GCF_014217625.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia shinshuensis_A	FALSE	FALSE	FALSE	NA
GCF_000007665.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia xyli_C	FALSE	FALSE	FALSE	NA
GCF_000470775.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia cynodontis	FALSE	FALSE	FALSE	NA
GCF_000633535.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia aquatica_A	FALSE	FALSE	FALSE	NA
GCA_001898805.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp001898805	FALSE	FALSE	FALSE	NA
GCF_014190775.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia aquatica	FALSE	FALSE	FALSE	NA
GCF_009765225.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp009765225	FALSE	FALSE	FALSE	NA
GCF_900114565.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp900114565	FALSE	FALSE	FALSE	NA
GCF_001647635.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia xyli_A	FALSE	FALSE	FALSE	NA
GCF_003664105.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp003664105	FALSE	FALSE	FALSE	NA
GCA_003367665.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp003367665	FALSE	FALSE	FALSE	NA
GCF_013359685.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp013359685	FALSE	FALSE	FALSE	NA
GCF_013408745.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia soli	FALSE	FALSE	FALSE	NA
GCF_900100265.1	f__Microbacteriaceae	g__Leifsonia	s__Leifsonia sp900100265	FALSE	FALSE	FALSE	NA
GCA_015655415.1	f__Microbacteriaceae	g__Humibacter	s__Humibacter sp015655415	FALSE	FALSE	FALSE	NA
GCF_000421825.1	f__Microbacteriaceae	g__Humibacter	s__Humibacter albus	FALSE	FALSE	FALSE	NA
GCF_007859675.1	f__Microbacteriaceae	g__Humibacter	s__Humibacter sp007859675	FALSE	FALSE	FALSE	NA
GCF_012985205.1	f__Microbacteriaceae	g__Humibacter	s__Humibacter sp012985205	FALSE	FALSE	FALSE	NA
GCF_000419445.1	f__Microbacteriaceae	g__Gryllotalpicola	s__Gryllotalpicola ginsengisoli	FALSE	FALSE	FALSE	NA
GCA_009780695.1	f__Microbacteriaceae	g__Gryllotalpicola	s__Gryllotalpicola sp009780695	FALSE	FALSE	FALSE	NA
GCF_003627055.1	f__Microbacteriaceae	g__Gryllotalpicola	s__Gryllotalpicola protaetiae	FALSE	FALSE	FALSE	NA
GCA_004297935.1	f__Microbacteriaceae	g__SCRE01	s__SCRE01 sp004297935	FALSE	FALSE	FALSE	NA
GCF_014640535.1	f__Microbacteriaceae	g__Cnuibacter	s__Cnuibacter physcomitrellae	FALSE	FALSE	FALSE	NA
GCF_013113715.1	f__Microbacteriaceae	g__Herbiconiux	s__Herbiconiux sp013113715	FALSE	FALSE	FALSE	NA
GCF_013409865.1	f__Microbacteriaceae	g__Herbiconiux	s__Herbiconiux flava	FALSE	FALSE	FALSE	NA
GCF_015350805.1	f__Microbacteriaceae	g__Herbiconiux	s__Herbiconiux sp015350805	FALSE	FALSE	FALSE	NA
GCA_005502775.1	f__Microbacteriaceae	g__Herbiconiux	s__Herbiconiux sp005502775	FALSE	FALSE	FALSE	NA
GCF_900107435.1	f__Microbacteriaceae	g__Herbiconiux	s__Herbiconiux ginsengi	FALSE	FALSE	FALSE	NA
GCF_001571005.1	f__Microbacteriaceae	g__Herbiconiux	s__Herbiconiux solani	FALSE	FALSE	FALSE	NA
GCA_004297105.1	f__Microbacteriaceae	g__Herbiconiux	s__Herbiconiux sp004297105	FALSE	FALSE	FALSE	NA
GCF_904528075.1	f__Microbacteriaceae	g__Agreia	s__Agreia sp904528075	FALSE	FALSE	FALSE	NA
GCF_001422485.1	f__Microbacteriaceae	g__Agreia	s__Agreia sp001422485	FALSE	FALSE	FALSE	NA
GCF_000938265.1	f__Microbacteriaceae	g__Agreia	s__Agreia bicolorata	FALSE	FALSE	FALSE	NA
GCF_900177765.1	f__Microbacteriaceae	g__Agreia	s__Agreia sp900177765	FALSE	FALSE	FALSE	NA
GCF_900177685.1	f__Microbacteriaceae	g__Agreia	s__Agreia pratensis	FALSE	FALSE	FALSE	NA
GCF_001421485.1	f__Microbacteriaceae	g__Agreia	s__Agreia sp001421485	FALSE	FALSE	FALSE	NA
GCF_003399645.1	f__Microbacteriaceae	g__Subtercola	s__Subtercola boreus_A	FALSE	FALSE	FALSE	NA
GCF_002931235.1	f__Microbacteriaceae	g__Subtercola	s__Subtercola sp002931235	FALSE	FALSE	FALSE	NA
GCF_006716115.1	f__Microbacteriaceae	g__Subtercola	s__Subtercola boreus	FALSE	FALSE	FALSE	NA
GCF_003399625.1	f__Microbacteriaceae	g__Subtercola	s__Subtercola boreus_C	FALSE	FALSE	FALSE	NA
GCF_003399635.1	f__Microbacteriaceae	g__Subtercola	s__Subtercola boreus_B	FALSE	FALSE	FALSE	NA
GCF_016907385.1	f__Microbacteriaceae	g__Subtercola	s__Subtercola frigoramans	FALSE	FALSE	FALSE	NA
GCF_018889995.1	f__Microbacteriaceae	g__Subtercola	s__Subtercola sp018889995	FALSE	FALSE	FALSE	NA
GCF_004923255.1	f__Microbacteriaceae	g__Subtercola	s__Subtercola vilae	FALSE	FALSE	FALSE	NA
GCF_014640255.1	f__Microbacteriaceae	g__Subtercola	s__Subtercola lobariae	FALSE	FALSE	FALSE	NA
GCA_002150995.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter michiganensis_K	FALSE	FALSE	FALSE	NA
GCF_014775655.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter zhangzhiyongii	FALSE	FALSE	FALSE	NA
GCF_002151125.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter michiganensis_C	FALSE	FALSE	FALSE	NA
GCF_003576405.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter sp003576405	FALSE	FALSE	FALSE	NA
GCF_003576185.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter phaseoli	FALSE	FALSE	FALSE	NA
GCF_002931175.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter californiensis	FALSE	FALSE	FALSE	NA
GCF_900168345.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter michiganensis	FALSE	FALSE	FALSE	NA
GCF_015351075.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter sp015351075	FALSE	FALSE	FALSE	NA
GCF_015351105.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter sp015351105	FALSE	FALSE	FALSE	NA
GCF_000355695.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter nebraskensis	FALSE	FALSE	FALSE	NA
GCF_002240565.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter insidiosus	FALSE	FALSE	FALSE	NA
GCF_000069225.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter sepedonicus	FALSE	FALSE	FALSE	NA
GCF_016907085.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter michiganensis_O	FALSE	FALSE	FALSE	NA
GCF_001280205.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter capsici	FALSE	FALSE	FALSE	NA
GCF_003384945.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter sp003384945	FALSE	FALSE	FALSE	NA
GCF_001618005.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter tessellarius_A	FALSE	FALSE	FALSE	NA
GCF_002240635.1	f__Microbacteriaceae	g__Clavibacter	s__Clavibacter tessellarius	FALSE	FALSE	FALSE	NA
GCA_008642235.1	f__Microbacteriaceae	g__Planctomonas	s__Planctomonas sp008642235	FALSE	FALSE	FALSE	NA
GCF_003067705.1	f__Microbacteriaceae	g__Planctomonas	s__Planctomonas deserti	FALSE	FALSE	FALSE	NA
GCF_017355965.1	f__Microbacteriaceae	g__JAFIQW01	s__JAFIQW01 sp017355965	FALSE	FALSE	FALSE	NA
GCF_001422205.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp001422205	FALSE	FALSE	FALSE	NA
GCF_003234565.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003234565	FALSE	FALSE	FALSE	NA
GCF_003234265.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003234265	FALSE	FALSE	FALSE	NA
GCF_003224335.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003224335	FALSE	FALSE	FALSE	NA
GCF_003234855.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003234855	FALSE	FALSE	FALSE	NA
GCF_018885305.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp018885305	FALSE	FALSE	FALSE	NA
GCF_003234085.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003234085	FALSE	FALSE	FALSE	NA
GCF_003234795.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003234795	FALSE	FALSE	FALSE	NA
GCF_011759505.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium flaccumfaciens_C	FALSE	FALSE	FALSE	NA
GCF_016907335.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium herbarum	FALSE	FALSE	FALSE	NA
GCF_003762905.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003762905	FALSE	FALSE	FALSE	NA
GCF_015350975.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp015350975	FALSE	FALSE	FALSE	NA
GCF_001865015.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp001865015	FALSE	FALSE	FALSE	NA
GCF_015350905.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp015350905	FALSE	FALSE	FALSE	NA
GCF_001424385.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp001424385	FALSE	FALSE	FALSE	NA
GCF_001864835.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp001864835	FALSE	FALSE	FALSE	NA
GCA_900086645.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp900086645	FALSE	FALSE	FALSE	NA
GCF_007673775.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp007673775	FALSE	FALSE	FALSE	NA
GCF_001864895.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp001864895	FALSE	FALSE	FALSE	NA
GCF_003752025.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003752025	FALSE	FALSE	FALSE	NA
GCF_015350995.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp015350995	FALSE	FALSE	FALSE	NA
GCF_003234365.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003234365	FALSE	FALSE	FALSE	NA
GCF_003755065.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003755065	FALSE	FALSE	FALSE	NA
GCF_016267665.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp016267665	FALSE	FALSE	FALSE	NA
GCF_015351025.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp015351025	FALSE	FALSE	FALSE	NA
GCF_000349565.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium flaccumfaciens_A	FALSE	FALSE	FALSE	NA
GCF_013359815.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium flaccumfaciens	FALSE	FALSE	FALSE	NA
GCF_018598555.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium flaccumfaciens_D	FALSE	FALSE	FALSE	NA
GCF_018613895.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp018613895	FALSE	FALSE	FALSE	NA
GCF_007680845.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium pusillum_B	FALSE	FALSE	FALSE	NA
GCF_002025645.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium pusillum_A	FALSE	FALSE	FALSE	NA
GCF_007673235.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium pusillum_C	FALSE	FALSE	FALSE	NA
GCF_013359865.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium pusillum	FALSE	FALSE	FALSE	NA
GCF_000333375.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp000333375	FALSE	FALSE	FALSE	NA
GCF_001806325.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp001806325	FALSE	FALSE	FALSE	NA
GCF_900101675.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp900101675	FALSE	FALSE	FALSE	NA
GCF_003234115.1	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp003234115	FALSE	FALSE	FALSE	NA
