map_id	Brachybacterium	Brevibacterium	Microbacterium	Pantoea	Sphingomonas
map05010	24	40	23	24	62
map05012	9	32	25	32	82
map05014	28	11	16	48	98
map05016	32	11	24	40	83
map05022	28	12	16	48	98
map05111	67	55	45	195	197
map05120	11	10	2	17	3
map05130	13	29	14	26	30
map05132	23	51	39	82	58
map05134	42	50	41	52	75
map05142	13	10	10	9	21
map05143	13	10	14	10	16
map05146	15	1	16	10	0
map05152	39	41	43	38	49
map05165	9	10	12	18	9
map05166	2	3	0	0	10
map05200	14	22	25	97	108
map05203	9	10	12	18	9
map05205	9	10	10	9	10
map05206	16	25	18	26	9
map05207	1	0	8	70	74
map05208	35	34	28	116	143
map05211	10	10	10	9	10
map05215	1	0	5	10	3
map05219	9	10	10	9	0
map05225	3	12	10	74	75
map05230	95	113	114	72	68
map05231	1	0	0	14	2
map05340	28	21	26	27	11
map05415	58	84	89	54	107
map05417	38	30	29	29	44
map05418	23	44	41	112	99
map00062	0	1	0	0	0
map00120	0	4	1	1	9
map00121	0	1	2	10	10
map00140	0	2	6	0	0
map00591	0	1	0	9	0
map00642	0	25	22	19	17
map00901	0	1	3	0	0
map00940	0	9	7	27	10
map03015	0	8	1	0	0
map04071	0	2	1	4	0
map04726	0	11	11	2	9
map04728	0	11	11	2	9
map05030	0	11	11	2	9
map05031	0	11	11	2	9
map05034	0	11	11	2	9
map05100	0	3	1	14	0
map05135	0	3	1	12	0
map05204	0	5	4	60	72
map00540	0	0	4	363	15
map00571	0	0	3	0	15
map04210	0	0	5	1	22
map04919	0	0	6	16	0
map05131	0	0	4	47	33
map05133	0	0	3	139	13
map05150	0	0	1	0	7
map00941	0	0	0	1	0
map00945	0	0	0	1	0
map03460	0	0	0	1	0
map04014	0	0	0	4	0
map04144	0	0	0	4	0
map04371	0	0	0	1	0
map04666	0	0	0	4	0
map04713	0	0	0	1	0
map04723	0	0	0	9	0
map04912	0	0	0	4	0
map04928	0	0	0	4	0
map04935	0	0	0	1	0
map05020	0	0	0	11	62
map05110	0	0	0	3	0
map05169	0	0	0	1	20
map05202	0	0	0	1	0
map05210	0	0	0	1	20
map05212	0	0	0	5	0
map05213	0	0	0	1	0
map05214	0	0	0	1	0
map05216	0	0	0	1	0
map05217	0	0	0	1	0
map05218	0	0	0	1	0
map05220	0	0	0	1	0
map05222	0	0	0	1	20
map05223	0	0	0	1	0
map05224	0	0	0	1	0
map05226	0	0	0	2	0
map00404	0	0	0	0	72
map00902	0	0	0	0	1
map00996	0	0	0	0	2
map04115	0	0	0	0	20
map04215	0	0	0	0	20
map04260	0	0	0	0	32
map04380	0	0	0	0	3
map04712	0	0	0	0	8
map04924	0	0	0	0	6
map04932	0	0	0	0	52
map05017	0	0	0	0	21
map05145	0	0	0	0	20
map05160	0	0	0	0	20
map05161	0	0	0	0	20
map05162	0	0	0	0	20
map05163	0	0	0	0	20
map05164	0	0	0	0	20
map05167	0	0	0	0	20
map05168	0	0	0	0	20
map05170	0	0	0	0	20
map05171	0	0	0	0	6
map05322	0	0	0	0	3
map05323	0	0	0	0	3
map05410	0	0	0	0	6
map05416	0	0	0	0	20
