accession	genus
GCA_018268435.1	Microbacterium
GCA_017306305.1	Microbacterium
GCA_018268515.1	Microbacterium
GCA_002257455.1	Microbacterium
GCF_000956505.1	Microbacterium
GCF_902506375.1	Microbacterium
GCF_000956545.1	Microbacterium
GCA_017968845.1	Microbacterium
GCF_000826185.2	Microbacterium
GCF_008017445.1	Microbacterium
GCF_019061125.1	Microbacterium
GCF_001426925.1	Microbacterium
GCF_015235415.1	Microbacterium
GCF_017592545.1	Microbacterium
GCF_016805985.1	Microbacterium
GCF_014643695.1	Microbacterium
GCF_009735645.1	Microbacterium
GCF_004564075.1	Microbacterium
GCF_002970975.1	Microbacterium
GCF_003569805.1	Microbacterium
GCF_011046975.1	Microbacterium
GCF_000422385.1	Microbacterium
GCF_014640975.1	Microbacterium
GCF_003327285.1	Microbacterium
GCF_014646015.1	Microbacterium
GCA_019117025.1	Microbacterium
GCF_000422745.1	Microbacterium
GCF_003254645.1	Microbacterium
GCF_009745985.1	Microbacterium
GCF_011326725.1	Microbacterium
GCF_000426445.1	Brevibacterium
GCA_019117325.1	Brevibacterium
GCF_000285835.1	Brevibacterium
GCF_016107685.1	Brevibacterium
GCF_900163715.1	Brevibacterium
GCF_900169175.1	Brevibacterium
GCF_009857845.1	Brevibacterium
GCF_001584615.1	Brevibacterium
GCF_001815905.1	Brevibacterium
GCF_000178455.1	Brevibacterium
GCF_016907735.1	Brevibacterium
GCF_013004595.1	Brevibacterium
GCF_005280295.1	Brevibacterium
GCF_900184225.1	Brevibacterium
GCF_003315415.1	Brevibacterium
GCF_900169275.1	Brevibacterium
GCF_006489205.1	Brevibacterium
GCF_018137945.1	Brevibacterium
GCF_011927955.1	Brevibacterium
GCF_900105045.1	Brevibacterium
GCF_900169145.1	Brevibacterium
GCF_016107655.1	Brevibacterium
GCF_007558825.1	Brevibacterium
GCF_016892625.1	Brevibacterium
GCF_900169365.1	Brevibacterium
GCF_900169065.1	Brevibacterium
1Dt1h	Brevibacterium
GCF_011617245.1	Brevibacterium
GCF_013623835.1	Brevibacterium
GCA_019117545.1	Brevibacterium
GCF_017808105.1	Brevibacterium
GCF_004745075.1	Brevibacterium
GCF_004745485.1	Brevibacterium
GCF_001570805.1	Brevibacterium
GCF_013623905.1	Brevibacterium
GCF_013280495.1	Brevibacterium
GCF_900169265.1	Brevibacterium
GCF_012844365.1	Brevibacterium
GCF_900169165.1	Brevibacterium
GCF_900105315.1	Brevibacterium
GCF_011617465.1	Brevibacterium
GCF_011617705.1	Brevibacterium
GCF_900163655.1	Brachybacterium
GCF_900258505.1	Brachybacterium
GCF_015209585.1	Brachybacterium
GCF_016907455.1	Brachybacterium
GCF_000225825.1	Brachybacterium
GCF_005490785.1	Brachybacterium
GCA_019118275.1	Brachybacterium
GCA_019115335.1	Brachybacterium
GCF_002871795.1	Brachybacterium
GCF_014204755.1	Brachybacterium
GCF_003711805.1	Brachybacterium
GCF_003994255.1	Brachybacterium
GCF_003347015.1	Brachybacterium
GCF_017876545.1	Brachybacterium
GCF_001969445.1	Brachybacterium
GCF_017876515.1	Brachybacterium
GCF_014897705.1	Brachybacterium
GCF_002332425.1	Brachybacterium
GCF_014897585.1	Brachybacterium
GCF_900184245.1	Brachybacterium
GCA_012799425.1	Brachybacterium
GCA_014400405.1	Brachybacterium
GCF_002407065.1	Brachybacterium
GCF_002216795.1	Brachybacterium
GCF_002407185.1	Brachybacterium
GCF_003355475.1	Brachybacterium
GCF_000576425.1	Brachybacterium
GCF_003130585.1	Brachybacterium
GCF_016623465.1	Brachybacterium
GCF_009299795.1	Brachybacterium
2Dt1e	Brachybacterium
GCF_003515075.1	Sphingomonas
3Dt2j	Sphingomonas
1Dt100g	Sphingomonas
GCF_003345355.1	Sphingomonas
GCF_001598455.1	Sphingomonas
GCF_001598355.1	Sphingomonas
GCF_001598415.1	Sphingomonas
GCA_017304635.1	Sphingomonas
GCA_004799495.1	Sphingomonas
GCA_018240825.1	Sphingomonas
GCA_017304615.1	Sphingomonas
GCF_007859635.1	Sphingomonas
GCF_903644135.1	Sphingomonas
GCF_903643065.1	Sphingomonas
GCF_903643035.1	Sphingomonas
GCF_902498785.1	Sphingomonas
GCF_006438955.1	Sphingomonas
GCF_903642285.1	Sphingomonas
GCF_001421505.1	Sphingomonas
GCF_007995065.1	Sphingomonas
GCF_001421415.1	Sphingomonas
GCF_001421745.1	Sphingomonas
GCF_003053745.1	Sphingomonas
GCF_004795835.1	Sphingomonas
GCF_003610375.1	Sphingomonas
GCF_004340965.1	Sphingomonas
GCF_900115295.1	Sphingomonas
GCF_004341085.1	Sphingomonas
GCF_001422045.1	Sphingomonas
GCF_003688625.1	Sphingomonas
GCF_001424005.1	Sphingomonas
GCF_003688595.1	Sphingomonas
GCF_003050745.1	Sphingomonas
GCF_004340945.1	Sphingomonas
GCA_003240625.1	Sphingomonas
GCF_014358075.1	Sphingomonas
GCF_001421805.1	Sphingomonas
GCF_003050705.1	Sphingomonas
GCF_004101245.1	Sphingomonas
GCF_013374115.1	Sphingomonas
GCF_001421535.1	Sphingomonas
GCF_003046295.1	Sphingomonas
GCA_005773165.1	Sphingomonas
GCF_014641735.1	Sphingomonas
GCF_900115745.1	Sphingomonas
GCF_001423765.1	Sphingomonas
GCF_014841615.1	Sphingomonas
GCF_001426195.1	Sphingomonas
GCF_016427505.1	Sphingomonas
GCF_003951315.1	Sphingomonas
GCF_014199625.1	Sphingomonas
GCF_014197105.1	Sphingomonas
GCF_014199305.1	Sphingomonas
GCF_900110035.1	Sphingomonas
GCF_009789535.1	Sphingomonas
GCF_000739895.2	Sphingomonas
GCF_014196255.1	Sphingomonas
GCF_014197135.1	Sphingomonas
GCF_001476905.1	Sphingomonas
GCF_001591005.1	Sphingomonas
GCA_019112965.1	Sphingomonas
GCF_000787715.1	Sphingomonas
GCF_001477495.1	Sphingomonas
GCF_014199595.1	Sphingomonas
GCF_016107325.1	Sphingomonas
GCF_003355005.1	Sphingomonas
GCF_016820445.1	Sphingomonas
GCA_003075315.1	Sphingomonas
GCF_014196115.1	Sphingomonas
GCF_000632225.1	Sphingomonas
GCF_000764535.1	Sphingomonas
GCF_013409985.1	Sphingomonas
GCA_002292295.1	Sphingomonas
GCF_010450875.1	Sphingomonas
GCF_002288825.1	Sphingomonas
GCF_002374835.1	Sphingomonas
GCF_002374855.1	Sphingomonas
GCF_004345855.1	Sphingomonas
GCF_014193845.1	Sphingomonas
GCF_014194975.1	Sphingomonas
GCA_003243195.1	Sphingomonas
GCF_000419605.1	Sphingomonas
GCF_001421995.1	Sphingomonas
GCF_001476895.1	Sphingomonas
GCF_902506455.1	Sphingomonas
GCF_000427645.1	Sphingomonas
GCF_014199415.1	Sphingomonas
GCF_001425405.1	Sphingomonas
GCF_012035195.1	Sphingomonas
GCF_013328205.1	Sphingomonas
GCF_000382485.1	Sphingomonas
GCF_900109565.1	Sphingomonas
GCF_005502745.1	Sphingomonas
GCA_017304125.1	Sphingomonas
GCA_001897375.1	Sphingomonas
GCF_013344685.1	Sphingomonas
GCF_002117915.1	Sphingomonas
GCF_014217605.1	Sphingomonas
GCF_001981525.1	Sphingomonas
GCF_000980895.1	Sphingomonas
GCF_900109205.1	Sphingomonas
GCF_002197665.1	Sphingomonas
GCF_002197685.1	Sphingomonas
GCA_903884945.1	Sphingomonas
GCF_001423845.1	Sphingomonas
GCF_016743815.1	Sphingomonas
GCF_014171475.1	Sphingomonas
GCF_000803065.1	Sphingomonas
GCF_014490665.1	Sphingomonas
GCF_000251145.1	Sphingomonas
GCF_000241465.1	Sphingomonas
GCF_000797515.1	Sphingomonas
GCF_013374095.1	Sphingomonas
GCF_014636175.1	Sphingomonas
GCF_000241485.1	Sphingomonas
GCF_006439055.1	Sphingomonas
GCF_014653575.1	Sphingomonas
GCF_900103265.1	Sphingomonas
GCF_001717955.1	Sphingomonas
GCF_004208535.1	Sphingomonas
GCA_002281485.1	Sphingomonas
GCA_002083655.1	Sphingomonas
GCA_002280555.1	Sphingomonas
GCA_001464615.1	Sphingomonas
GCA_002281535.1	Sphingomonas
GCA_002083435.1	Sphingomonas
GCA_002083475.1	Sphingomonas
GCA_002403415.1	Sphingomonas
GCA_013822915.1	Sphingomonas
GCA_002863155.1	Sphingomonas
GCF_001556185.1	Sphingomonas
GCA_006438735.1	Sphingomonas
GCF_003550065.1	Sphingomonas
GCF_001555965.1	Sphingomonas
GCF_000786205.1	Sphingomonas
GCF_006346325.1	Sphingomonas
GCF_005144715.1	Sphingomonas
GCF_002351485.1	Sphingomonas
GCF_014199325.1	Sphingomonas
GCF_004135605.1	Sphingomonas
GCF_004341505.2	Sphingomonas
GCF_014842075.1	Sphingomonas
GCF_001425385.1	Sphingomonas
GCF_001421715.1	Sphingomonas
GCF_001421965.1	Sphingomonas
GCF_001421245.1	Sphingomonas
3Dt2c	Sphingomonas
GCA_003240755.1	Sphingomonas
GCF_001619955.1	Sphingomonas
GCF_001421765.1	Sphingomonas
GCF_001421355.1	Sphingomonas
3Dt1c	Sphingomonas
GCF_902506605.1	Sphingomonas
GCA_902826325.1	Sphingomonas
GCF_007833215.1	Sphingomonas
GCA_002280565.1	Sphingomonas
GCF_001557215.1	Sphingomonas
GCF_002797435.1	Sphingomonas
GCF_001721295.1	Sphingomonas
GCA_017745215.1	Sphingomonas
GCF_000226955.1	Sphingomonas
GCF_011927635.1	Sphingomonas
GCF_012650175.1	Sphingomonas
GCF_001598435.1	Sphingomonas
GCF_900114095.1	Sphingomonas
GCF_001650735.1	Sphingomonas
GCF_002091475.1	Sphingomonas
GCF_000282895.1	Sphingomonas
GCF_003096275.1	Sphingomonas
GCF_005503355.1	Sphingomonas
GCF_011761945.1	Sphingomonas
GCF_002127225.1	Sphingomonas
GCA_017418975.1	Sphingomonas
GCF_014196745.1	Sphingomonas
GCF_014204495.1	Sphingomonas
GCF_013416555.1	Sphingomonas
GCF_000935025.1	Sphingomonas
GCF_014489075.1	Sphingomonas
GCF_018449795.1	Sphingomonas
GCF_004792695.1	Sphingomonas
GCF_000712135.1	Sphingomonas
GCF_001428865.1	Sphingomonas
GCF_002002925.1	Sphingomonas
GCF_002796605.1	Sphingomonas
GCF_004792685.1	Sphingomonas
GCF_014199255.1	Sphingomonas
GCA_017744835.1	Sphingomonas
GCF_012927115.1	Sphingomonas
GCA_004173185.1	Sphingomonas
GCF_001591025.1	Sphingomonas
GCF_014334115.1	Sphingomonas
GCF_011057975.1	Sphingomonas
GCA_002707985.1	Sphingomonas
GCF_003171655.1	Sphingomonas
GCF_014199335.1	Sphingomonas
GCF_004361835.1	Sphingomonas
GCA_018122655.1	Sphingomonas
GCF_900199185.1	Sphingomonas
GCA_016937575.1	Sphingomonas
GCF_001421785.1	Sphingomonas
GCF_008801695.1	Pantoea
GCF_000710035.2	Pantoea
GCF_002307475.1	Pantoea
GCA_002434205.1	Pantoea
GCF_002095315.1	Pantoea
GCA_002095305.1	Pantoea
GCA_009830035.1	Pantoea
GCF_008632075.1	Pantoea
GCF_004792415.1	Pantoea
GCF_001598475.1	Pantoea
GCF_009646115.1	Pantoea
GCF_013415305.1	Pantoea
GCF_900115075.1	Pantoea
GCF_006494375.1	Pantoea
GCF_003236715.1	Pantoea
GCF_006494415.1	Pantoea
GCA_018842655.1	Pantoea
GCF_018842675.1	Pantoea
GCF_014946725.1	Pantoea
GCF_003813865.1	Pantoea
GCF_003612015.1	Pantoea
GCF_002077695.1	Pantoea
GCA_001485295.1	Pantoea
GCF_002095575.1	Pantoea
GCA_013753875.1	Pantoea
GCF_000295955.2	Pantoea
GCF_002095535.1	Pantoea
GCF_011395035.1	Pantoea
GCF_000175935.2	Pantoea
GCF_000468095.1	Pantoea
GCF_007833795.1	Pantoea
GCF_002095485.1	Pantoea
GCA_900215435.1	Pantoea
GCF_001187905.1	Pantoea
GCF_002858935.1	Pantoea
GCF_016625195.1	Pantoea
GCF_000759475.1	Pantoea
GCF_000773965.1	Pantoea
1Dt2d	Pantoea
GCF_002095465.1	Pantoea
GCF_002095475.1	Pantoea
GCF_011752625.1	Pantoea
GCF_001506165.1	Pantoea
GCF_001691555.1	Pantoea
GCF_002095385.1	Pantoea
GCF_014155765.1	Pantoea
GCA_002359495.1	Pantoea
GCF_900604315.1	Pantoea
