GCF_000202635.1	GCF_000202635.1_ASM20263v1_genomic.fna
GCF_000225825.1	GCF_000225825.1_ASM22582v2_genomic.fna
GCF_000226955.1	GCF_000226955.1_ASM22695v2_genomic.fna
GCF_000241465.1	GCF_000241465.1_ASM24146v1_genomic.fna
GCF_000241485.1	GCF_000241485.1_ASM24148v1_genomic.fna
GCF_000251145.1	GCF_000251145.1_ASM25114v2_genomic.fna
GCF_000282895.1	GCF_000282895.1_ASM28289v1_genomic.fna
GCF_000285835.1	GCF_000285835.1_ASM28583v2_genomic.fna
GCF_000304335.1	GCF_000304335.1_My_PS01_genomic.fna
GCF_000333395.1	GCF_000333395.1_ASM33339v1_genomic.fna
GCF_000382485.1	GCF_000382485.1_Mn802_genomic.fna
GCF_000411455.1	GCF_000411455.1_Micr_sp_oral_taxon_186_F0373_V1_genomic.fna
GCF_000419605.1	GCF_000419605.1_ASM41960v1_genomic.fna
GCF_000422385.1	GCF_000422385.1_ASM42238v1_genomic.fna
GCF_000422405.1	GCF_000422405.1_ASM42240v1_genomic.fna
GCF_000422745.1	GCF_000422745.1_ASM42274v1_genomic.fna
GCF_000426445.1	GCF_000426445.1_ASM42644v1_genomic.fna
GCF_000427645.1	GCF_000427645.1_ASM42764v1_genomic.fna
GCF_000455825.1	GCF_000455825.1_ASM45582v1_genomic.fna
GCF_000468095.1	GCF_000468095.1_Pantoea_sp._AS-PWVM4_genomic.fna
GCF_000632225.1	GCF_000632225.1_Willow_Endophyte_RIT328_genomic.fna
GCF_000685355.1	GCF_000685355.1_Microbacteriumx4_genomic.fna
GCF_000710035.2	GCF_000710035.2_PA2665v2_genomic.fna
GCF_000712135.1	GCF_000712135.1_ASM71213v1_genomic.fna
GCF_000739895.2	GCF_000739895.2_ASM73989v2_genomic.fna
